Company Name,County,City,Industry,Employees Affected,Notice Date,Effective Date,Notes
"Avelo Airlines, Inc.",New Hanover,Wilmington,Airlines,82,01/07/2026,03/06/2026,Closure - Permanent
"Avelo Airlines, Inc.",Wake,Morrisville,Airlines,78,01/07/2026,03/06/2026,Closure - Permanent
"Thermo Fisher Scientific",Buncombe,Asheville,Scientific Equipment,423,01/08/2026,12/31/2027,Closure - Permanent
"SMBC MANUBANK",N/A,New York NY,Financial Services,9,01/08/2026,03/10/2026,Layoff - Permanent
"Fortrex",Chatham,Siler City,Industrial Services,170,01/12/2026,02/06/2026,Layoff - Permanent
"Parkdale Mills",Stokes,Walnut Cove,Textile Manufacturing,72,01/13/2026,01/13/2026,Closure - Permanent
"Access East",Pitt,Greenville,Healthcare/Services,31,01/19/2026,03/31/2026,Layoff - Permanent
"CJ Logistics America, LLC",Forsyth,Rural Hall,Logistics,99,01/20/2026,03/23/2026,Closure - Permanent
"Firestone Fibers and Textiles, LLC",Gaston,Gastonia,Textile Manufacturing,4,01/27/2026,04/28/2026,Layoff - Permanent
"Firestone Fibers and Textiles, LLC",Gaston,Kings Mountain,Textile Manufacturing,77,01/27/2026,04/28/2026,Layoff - Permanent
"GMRI, Inc. dba Bahama Breeze",Wake,Raleigh,Restaurant,75,02/03/2026,04/05/2026,Closure - Permanent
"Wells Fargo",Wake,Raleigh,Financial Services,112,02/03/2026,04/04/2026,Layoff - Permanent
"Avantor Fluid Handling, LLC",Wake,Morrisville,Manufacturing,54,02/06/2026,07/10/2026,Closure - Permanent
"LTI Holdings Inc. DBA Boyd",Union,Monroe,Manufacturing,63,02/11/2026,09/01/2026,Closure - Permanent
"Lowe's Companies, Inc.",Mecklenburg,Charlotte,Retail - Home Improvement,49,02/13/2026,05/01/2026,Layoff - Permanent
"Lowe's Companies, Inc.",Iredell,Mooresville,Retail - Home Improvement,178,02/13/2026,05/01/2026,Layoff - Permanent
"Corning Incorporated",Edgecombe,Tarboro,Manufacturing,123,02/19/2026,04/19/2026,Closure - Permanent
"Merck Sharp & Dohme LLC",Durham,Durham,Pharmaceuticals,7,02/24/2026,05/01/2026,Layoff - Permanent
"Merck Sharp & Dohme LLC",Durham,Durham,Pharmaceuticals,147,02/24/2026,05/01/2026,Layoff - Permanent
"Focus Services, LLC",Pitt,Greenville,Services,94,02/16/2026,04/30/2026,Closure - Permanent
